CID,zHD,zHDERR,MU,MUERR,RA,DEC,MWEBV,HOST_LOGMASS,IDSURVEY,kappa_5,kappa_10,kappa_20,kappa_30,kappa_comp_5_10,kappa_comp_10_20,kappa_comp_20_40,y_5,y_10,y_20,y_30,y_comp_5_10,y_comp_10_20,y_comp_20_40,mask_ok_kappa,mask_ok_y,n_pix_kappa,n_pix_y,delta_mu,delta_mu_deconf,clean_sample
1307277,0.41123,0.00128,41.662,0.318089,41.7388,-0.2355,0.0304936,10.612,10,0.19804501703811908,0.028144593028925757,-0.19858572279408232,-0.28644229205316996,0.25485063601379,0.2885658565020102,0.23845405749846138,,,,,,,,True,False,6,0,0.020017140024776836,0.038406027218313626,True
530251,0.4114,0.00154,41.8335,0.242677,334.634,1.1149,0.0656649,9.3809,15,0.7277979119558261,0.6352895380397497,0.5659430356176774,0.4583641393132652,0.12334449855476859,0.10198015062069443,0.27779947929460636,,,,,,,,True,False,8,0,0.19046332663582177,0.17238815448556521,True
520071,0.41161,0.00154,41.8131,0.149106,215.504,53.6193,0.00617008,10.641,15,0.7796271555064782,0.5181674131285757,0.5916310602630279,0.5989695909835878,0.3660436393290634,-0.10052920134188192,0.09611052583488083,,,,,,,,True,False,7,0,0.1687621150842844,0.1479959375596262,True
1315296,0.41266,0.00128,41.7893,0.330128,40.3016,-0.7644,0.0291161,9.821,10,-0.5459855830570556,-0.5416176951287438,-0.47810903598276094,-0.34965876982661265,-0.005823850571082367,-0.09173472987753062,-0.3360231374562429,,,,,,,,True,False,8,0,0.1384652869443812,0.16393193368369513,True
04D2fp,0.41657,0.00155,41.7295,0.149208,149.867,2.321,0.0169583,10.235,4,0.5897540813848148,0.6675611487447409,0.5832231983458408,0.49646186154630956,-0.12967844559987707,0.10267228744213941,0.2514959131644512,,,,,,,,True,False,5,0,0.054606568187793414,0.06345199173153822,True
05D2dw,0.41857,0.00155,41.6174,0.202099,149.634,2.0322,0.016778,8.815,4,-0.40826077827144286,-0.27426098097849294,-0.1483433010137918,-0.10805541616384534,-0.1607997567515399,-0.1602588654096196,-0.08923038483915702,,,,,,,,True,False,6,0,-0.06971873188666677,-0.05388182482693918,True
440162,0.41936,0.00155,41.6863,0.192599,353.266,-0.9127,0.0302407,11.5,15,-1.1842066661876838,-1.0536001053764372,-1.0448442641276754,-1.0270108379159422,-0.18284918513574544,-0.011981677498305476,-0.16607243923863602,,,,,,,,True,False,7,0,-0.005632783069991376,-0.028133606040931146,True
550137,0.41939,0.00155,41.4604,0.22264,334.754,0.0297,0.0799025,10.086,15,-0.6555038086090257,-0.6119575231966835,-0.6154376779080852,-0.569389467792105,-0.08709257082468425,0.004524201124822103,-0.10438257153225572,,,,,,,,True,False,6,0,-0.2317154290766652,-0.2577951218575287,True
1289600,0.4196,0.00129,41.8662,0.224621,52.0477,-27.8629,0.00805708,9.712,10,0.13319966309466472,0.15159962347246103,0.23968447792844164,0.3141678380975869,-0.03679992075559263,-0.113251955729118,-0.1628560771141183,,,,,,,,True,False,6,0,0.172806388577321,0.19979065028235465,True
05D3cf,0.41965,0.00155,41.7981,0.235757,214.223,52.3451,0.0105752,9.609,4,0.8160211652717292,0.7015446288123449,0.6214646603486236,0.535148820809422,0.1373718437512612,0.10295995945335568,0.213632135138346,,,,,,,,True,False,6,0,0.10440214703030648,0.12068605789692377,True
